Asset,Date,Open,High,Low,Close,AdjClose,Volume
DJI,2015-08-10,17375.18,17629.13,17375.18,17615.17,17615.17,924300
DJI,2015-08-11,17593.59,17593.59,17352.63,17402.84,17402.84,1030100
DJI,2015-08-12,17382.93,17423.9,17125.81,17402.51,17402.51,1204000
DJI,2015-08-13,17401.64,17481.78,17341.34,17408.25,17408.25,885500
DJI,2015-08-14,17410.12,17492.9,17394.06,17477.4,17477.4,821200
DJI,2015-08-17,17472.66,17551.4,17341.72,17545.18,17545.18,733800
DJI,2015-08-18,17537.3,17568.4,17486.42,17511.34,17511.34,799000
DJI,2015-08-19,17508.74,17517.19,17282.42,17348.73,17348.73,1047200
DJI,2015-08-20,17345.32,17345.32,16990.69,16990.69,16990.69,1285300
DJI,2015-08-21,16990.69,16990.69,16459.55,16459.75,16459.75,2251700
DJI,2015-08-24,16459.75,16459.75,15370.33,15871.35,15871.35,2939200
DJI,2015-08-25,15882.27,16312.94,15651.24,15666.44,15666.44,2132200
DJI,2015-08-26,15676.26,16303.75,15676.26,16285.51,16285.51,2084200
DJI,2015-08-27,16285.51,16666.69,16285.51,16654.77,16654.77,1719800
DJI,2015-08-28,16649.42,16669.97,16535.18,16643.01,16643.01,1317900
DJI,2015-08-31,16632.02,16632.02,16444.05,16528.03,16528.03,1414400
DJI,2015-09-01,16528.03,16528.03,15979.95,16058.35,16058.35,1713900
DJI,2015-09-02,16058.35,16352.58,16058.35,16351.38,16351.38,1334800
DJI,2015-09-03,16364.34,16550.07,16317.31,16374.76,16374.76,1097300
DJI,2015-09-04,16371.76,16371.76,16026.61,16102.38,16102.38,1272700
DJI,2015-09-08,16109.93,16503.41,16109.93,16492.68,16492.68,1238700
DJI,2015-09-09,16505.04,16664.65,16220.1,16253.57,16253.57,1187900
DJI,2015-09-10,16252.57,16441.94,16212.08,16330.4,16330.4,1226900
DJI,2015-09-11,16330.4,16434.76,16244.65,16433.09,16433.09,1046300
DJI,2015-09-14,16450.86,16450.86,16330.87,16370.96,16370.96,926600
DJI,2015-09-15,16382.58,16644.11,16382.58,16599.85,16599.85,930500
DJI,2015-09-16,16599.51,16755.98,16593.9,16739.95,16739.95,996200
DJI,2015-09-17,16738.08,16933.43,16639.93,16674.74,16674.74,1296000
DJI,2015-09-18,16674.74,16674.74,16343.76,16384.58,16384.58,3416900
DJI,2015-09-21,16406.1,16578.6,16391.88,16510.19,16510.19,907300
DJI,2015-09-22,16477.45,16477.45,16221.73,16330.47,16330.47,1190100
DJI,2015-09-23,16332.81,16355.29,16211.98,16279.89,16279.89,860300
DJI,2015-09-24,16257.11,16257.11,16016.36,16201.32,16201.32,1222200
DJI,2015-09-25,16205.07,16465.23,16205.07,16314.67,16314.67,1307900
DJI,2015-09-28,16313.26,16313.26,15981.85,16001.89,16001.89,1399300
DJI,2015-09-29,16001.76,16118.89,15942.37,16049.13,16049.13,1211600
DJI,2015-09-30,16057.08,16297.6,16057.08,16284.7,16284.7,1457400
DJI,2015-10-01,16278.62,16348.87,16073.82,16272.01,16272.01,1114200
DJI,2015-10-02,16258.25,16472.77,16013.66,16472.37,16472.37,1368700
DJI,2015-10-05,16502.1,16798.37,16502.1,16776.43,16776.43,1276600
DJI,2015-10-06,16774.02,16865.09,16746.03,16790.19,16790.19,1200100
DJI,2015-10-07,16805.42,16963.3,16765,16912.29,16912.29,1156900
DJI,2015-10-08,16904.17,17081.28,16859.34,17050.75,17050.75,1007300
DJI,2015-10-09,17054.69,17110.88,17027.23,17084.49,17084.49,1037300
DJI,2015-10-12,17082.29,17139.21,17064.58,17131.86,17131.86,725000
DJI,2015-10-13,17113.55,17172.81,17034.45,17081.89,17081.89,994000
DJI,2015-10-14,17079.08,17111.38,16887.67,16924.75,16924.75,1201100
DJI,2015-10-15,16944.86,17144.42,16933.57,17141.75,17141.75,1229600
DJI,2015-10-16,17141.75,17220.02,17107.35,17215.97,17215.97,1458800
DJI,2015-10-19,17209.43,17235.95,17129.19,17230.54,17230.54,1184300
DJI,2015-10-20,17228.47,17264.88,17147.99,17217.11,17217.11,1066700
DJI,2015-10-21,17225.93,17314.99,17153.13,17168.61,17168.61,1071000
DJI,2015-10-22,17180.88,17505.18,17180.88,17489.16,17489.16,1524200
DJI,2015-10-23,17525.11,17679.37,17525.11,17646.7,17646.7,1580900
DJI,2015-10-26,17649.57,17660.7,17602.51,17623.05,17623.05,1166600
DJI,2015-10-27,17608.89,17635.18,17540.57,17581.43,17581.43,1139600
DJI,2015-10-28,17586.69,17779.95,17556.71,17779.52,17779.52,1156300
DJI,2015-10-29,17771.5,17786,17684.72,17755.8,17755.8,903000
DJI,2015-10-30,17756.6,17799.96,17662.87,17663.54,17663.54,1492500
DJI,2015-11-02,17672.62,17845.9,17655.02,17828.76,17828.76,1008400
DJI,2015-11-03,17819.74,17977.85,17796.02,17918.15,17918.15,922900
DJI,2015-11-04,17929.58,17964.12,17828.83,17867.58,17867.58,998900
DJI,2015-11-05,17871.25,17929.51,17779.19,17863.43,17863.43,989100
DJI,2015-11-06,17855.22,17912.04,17768.6,17910.33,17910.33,1074500
DJI,2015-11-09,17900.78,17900.78,17667.78,17730.48,17730.48,1212100
DJI,2015-11-10,17724.13,17768.66,17657.72,17758.21,17758.21,1086400
DJI,2015-11-11,17769.5,17807.18,17696.91,17702.22,17702.22,952300
DJI,2015-11-12,17691.93,17691.93,17443.5,17448.07,17448.07,1136600
DJI,2015-11-13,17439.25,17439.25,17238.89,17245.24,17245.24,1346400
DJI,2015-11-16,17229.94,17483.01,17210.43,17483.01,17483.01,1375900
DJI,2015-11-17,17486.99,17599.33,17451.41,17489.5,17489.5,1671900
DJI,2015-11-18,17485.49,17752.16,17485.49,17737.16,17737.16,1068100
DJI,2015-11-19,17739.83,17772.97,17681.98,17732.75,17732.75,1146300
DJI,2015-11-20,17732.75,17914.34,17732.75,17823.81,17823.81,1531400
DJI,2015-11-23,17823.61,17868.18,17751.53,17792.68,17792.68,1346800
DJI,2015-11-24,17770.9,17862.6,17683.51,17812.19,17812.19,1271700
DJI,2015-11-25,17820.81,17854.92,17801.83,17813.39,17813.39,825400
DJI,2015-11-27,17806.04,17830.36,17749.32,17813.39,17813.39,825400
DJI,2015-11-30,17802.84,17837.24,17719.79,17719.92,17719.92,1555600
DJI,2015-12-01,17719.72,17895.5,17719.72,17888.35,17888.35,1038800
DJI,2015-12-02,17883.14,17901.58,17708.2,17729.68,17729.68,1028600
DJI,2015-12-03,17741.57,17780.59,17425.56,17477.67,17477.67,1269900
DJI,2015-12-04,17482.68,17866.47,17482.68,17847.63,17847.63,1376500
DJI,2015-12-07,17845.49,17845.49,17639.25,17730.51,17730.51,996700
DJI,2015-12-08,17703.99,17703.99,17485.39,17568,17568,1137200
DJI,2015-12-09,17558.18,17767.69,17403.51,17492.3,17492.3,1220200
DJI,2015-12-10,17493.17,17697.74,17474.66,17574.75,17574.75,1073100
DJI,2015-12-11,17574.75,17574.75,17230.5,17265.21,17265.21,1345100
DJI,2015-12-14,17277.11,17378.02,17138.47,17368.5,17368.5,1425400
DJI,2015-12-15,17374.78,17627.63,17341.18,17524.91,17524.91,1234300
DJI,2015-12-16,17530.85,17784.36,17483.68,17749.09,17749.09,1237900
DJI,2015-12-17,17756.54,17796.76,17493.5,17495.84,17495.84,1157800
DJI,2015-12-18,17495.04,17496.58,17124.31,17128.55,17128.55,3445600
DJI,2015-12-21,17154.94,17272.36,17116.73,17251.62,17251.62,1149100
DJI,2015-12-22,17253.55,17451.11,17242.86,17417.27,17417.27,915700
DJI,2015-12-23,17427.63,17607.92,17427.63,17602.61,17602.61,928200
DJI,2015-12-24,17593.26,17606.34,17543.95,17552.17,17552.17,403500
DJI,2015-12-28,17535.66,17536.9,17437.34,17528.27,17528.27,597700
DJI,2015-12-29,17547.37,17750.02,17547.37,17720.98,17720.98,698600
DJI,2015-12-30,17711.94,17714.13,17588.87,17603.87,17603.87,597600
DJI,2015-12-31,17590.66,17590.66,17421.16,17425.03,17425.03,936900
DJI,2016-01-04,17405.48,17405.48,16957.63,17148.94,17148.94,1480600
DJI,2016-01-05,17147.5,17195.84,17038.61,17158.66,17158.66,1057500
DJI,2016-01-06,17154.83,17154.83,16817.62,16906.51,16906.51,1202500
DJI,2016-01-07,16888.36,16888.36,16463.63,16514.1,16514.1,1762400
DJI,2016-01-08,16519.17,16651.89,16314.57,16346.45,16346.45,1418500
DJI,2016-01-11,16358.71,16461.85,16232.03,16398.57,16398.57,1277900
DJI,2016-01-12,16419.11,16591.35,16322.07,16516.22,16516.22,1174800
DJI,2016-01-13,16526.63,16593.51,16123.2,16151.41,16151.41,1535300
DJI,2016-01-14,16159.01,16482.05,16075.12,16379.05,16379.05,1588300
DJI,2016-01-15,16354.33,16354.33,15842.11,15988.08,15988.08,2392100
DJI,2016-01-19,16009.45,16171.96,15900.25,16016.02,16016.02,1443600
DJI,2016-01-20,15989.45,15989.45,15450.56,15766.74,15766.74,1918700
DJI,2016-01-21,15768.87,16038.59,15704.66,15882.68,15882.68,1451400
DJI,2016-01-22,15921.1,16136.79,15921.1,16093.51,16093.51,1458500
DJI,2016-01-25,16086.46,16086.46,15880.15,15885.22,15885.22,1232500
DJI,2016-01-26,15893.16,16185.79,15893.16,16167.23,16167.23,1182100
DJI,2016-01-27,16168.74,16235.03,15878.3,15944.46,15944.46,1383500
DJI,2016-01-28,15960.28,16102.14,15863.72,16069.64,16069.64,1301200
DJI,2016-01-29,16090.26,16466.3,16090.26,16466.3,16466.3,2179400
DJI,2016-02-01,16453.63,16510.98,16299.47,16449.18,16449.18,1144500
DJI,2016-02-02,16420.21,16420.21,16108.44,16153.54,16153.54,1262100
DJI,2016-02-03,16186.2,16381.69,15960.45,16336.66,16336.66,1418700
DJI,2016-02-04,16329.67,16485.84,16266.16,16416.58,16416.58,1314900
DJI,2016-02-05,16417.95,16423.63,16129.81,16204.97,16204.97,1390100
DJI,2016-02-08,16147.51,16147.51,15803.55,16027.05,16027.05,1658800
DJI,2016-02-09,16005.41,16136.62,15881.11,16014.38,16014.38,1277400
DJI,2016-02-10,16035.61,16201.89,15899.91,15914.74,15914.74,1222900
DJI,2016-02-11,15897.82,15897.82,15503.01,15660.18,15660.18,1720700
DJI,2016-02-12,15691.62,15974.04,15691.62,15973.84,15973.84,1325500
DJI,2016-02-16,16012.39,16196.41,16012.39,16196.41,16196.41,1420300
DJI,2016-02-17,16217.98,16486.12,16217.98,16453.83,16453.83,1240800
DJI,2016-02-18,16483.76,16511.84,16390.43,16413.43,16413.43,1049500
DJI,2016-02-19,16410.96,16410.96,16278,16391.99,16391.99,1343400
DJI,2016-02-22,16417.13,16664.24,16417.13,16620.66,16620.66,1022400
DJI,2016-02-23,16610.39,16610.39,16403.53,16431.78,16431.78,981700
DJI,2016-02-24,16418.84,16507.39,16165.86,16484.99,16484.99,936200
DJI,2016-02-25,16504.38,16697.98,16458.42,16697.29,16697.29,941200
DJI,2016-02-26,16712.7,16795.98,16623.91,16639.97,16639.97,984800
DJI,2016-02-29,16634.15,16726.12,16510.4,16516.5,16516.5,1262200
DJI,2016-03-01,16545.67,16865.56,16545.67,16865.08,16865.08,1050500
DJI,2016-03-02,16851.17,16900.17,16766.32,16899.32,16899.32,1044700
