Date,xBTCx,diff1,BTC_diff,Vol_diff,ETH_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,NAS_diff,NAS_vol_diff,RSI_EMA,RSI_EMA_ETH,RSI_EMA_NAS,EMA3x,EMA7x,EMA15x,EMA30x,EMA3x_ETH,EMA7x_ETH,EMA15x_ETH,EMA30x_ETH,EMA3x_NAS,EMA7x_NAS,EMA15x_NAS,EMA30x_NAS,WalletHitsChg,macd_Signal,macd_Signal_ETH,macd_Signal_NAS
2019-03-01,4.831354999999803,3.737801999999647,4.798470000000179,-738519823,-0.30262919999998417,-779314129,-1283345083,-6468152,62.82031300000017,-183890000,51.53162585026652,48.43379229374439,77.98068238396291,-0.4685218063477805,-4.4675097644699235,2.458967274524639,5.5763511093150555,-0.4956176431193171,-0.721459345217994,-0.06680903497291979,0.3133967028643099,27.303970004388248,16.12482663031824,13.137165651862233,12.736817065062496,-28,HOLD,HOLD,HOLD
2019-03-02,-17.239407999999912,4.798470000000179,4.831354999999803,-82461899,-2.23666750000001,-8948399,-5077150,11216220,0,0,52.140159708642024,44.76278086893317,77.98068238396291,2.1814165968262387,-2.1427935733522645,2.7555157402093755,5.528286844197737,-1.3661425715596636,-1.1002613839135051,-0.3380413431013096,0.1488764317117841,13.651985002194124,12.093619972739361,11.495019945378772,11.915086931832775,20.8333333333333,HOLD,HOLD,HOLD
2019-03-03,-85.61868099999992,4.831354999999803,-17.239407999999912,-325227924,-1.957538200000016,-292802372,-475017901,-3229058,0,0,49.57738058596834,41.5801924270751,77.98068238396291,-7.528995701586609,-5.916947180014176,0.256150272683044,4.059403305862361,-1.6618403857798398,-1.3145805879351542,-0.5404784502136408,0.012978713536824671,6.825992501097062,9.070214979554294,10.058142452206994,11.146371645908403,-51.7241379310345,HOLD,HOLD,HOLD
2019-03-04,134.81800500000008,-17.239407999999912,-85.61868099999992,1775617636,-4.475295799999984,553797288,1981250830,2825933,-17.780273999999736,106400000,38.68201120813968,35.013351290619774,67.58340922855153,-46.57383835079327,-25.842380635011068,-10.478203636402213,-1.7262795525803085,-3.0685680928899046,-2.104759390951358,-1.0323306189369248,-0.27658738411071226,-5.477140749451792,2.3575927346664685,6.578340395680243,9.280136442946969,28.5714285714286,HOLD,HOLD,HOLD
2019-03-05,7.567559999999958,-85.61868099999992,134.81800500000008,1144950627,10.048263500000004,756678649,1661903855,-936094,-1.209961000000476,-426980000,56.17913306661922,53.8825197517787,66.88319606617182,44.12208332460341,14.322715773741947,7.683822443148074,7.083029128231374,3.489847703555057,0.9334963317865004,0.3527436459301896,0.3895320277673875,-3.3435508747261338,1.4657043009992776,5.6048027212200395,8.603355962756723,37.037037037037,HOLD,HOLD,HOLD
2019-03-06,7.5417059999999765,134.81800500000008,7.567559999999958,-998834886,0.9669692999999882,-175795771,-1036838765,-29854254,-70.43994099999964,100200000,56.974307606362274,55.322919328973796,39.43672419491709,25.844821662301456,12.633926830306336,7.669289637754446,7.114289184474728,2.228408501777494,0.9418645738398652,0.4295218526889073,0.42678604533080033,-36.89174593736243,-16.510707024250223,-3.900790243931624,3.503788416772295,-2.7027027027027,HOLD,HOLD,HOLD
2019-03-07,-10.352664999999888,7.567559999999958,7.5417059999999765,408873990,-0.754851699999989,-249847927,209384632,-4203856,-84.45996100000048,198030000,57.85373943713137,53.809113713779595,25.15514709909339,16.69326383115049,11.360871622729974,7.653341683035251,7.141864462895228,0.7367784008887668,0.5176855053798874,0.28147515860280237,0.35055135208364163,-60.67585346868145,-33.49802051818733,-13.970686588440003,-2.1712921907610507,-19.4444444444445,HOLD,HOLD,HOLD
2019-03-08,62.18211799999972,7.5417059999999765,-10.352664999999888,1054473425,-2.9074274000000173,339610502,206932828,2094202,-13.319823999999244,-195410000,56.03948207089545,47.97499683264962,23.599961767165006,3.170299415575755,5.932487467047395,5.402590847656029,6.013185142709062,-1.0853244995556395,-0.33859272096509585,-0.1171376612225572,0.14035917452986268,-36.9978387343408,-28.453471388640537,-13.88932876488525,-2.8905523074863595,-25.8620689655172,HOLD,HOLD,HOLD
2019-03-09,-11.713913999999932,-10.352664999999888,62.18211799999972,157464574,2.8382606000000123,333101921,-158385716,-7078399,0,0,63.88789019150992,53.63713947964036,23.599961767165002,32.67620870778774,19.994895100285703,12.500031741698876,9.636987262534149,0.8764680502222006,0.4556206092761954,0.2522871214302711,0.3144173310118106,-18.498919367170856,-21.340103541480858,-12.153162669274934,-2.704065061841902,0,HOLD,HOLD,HOLD
2019-03-10,-46.372507999999925,62.18211799999972,-11.713913999999932,-1082835911,-1.20665249999999,-433480216,-1019417458,5677253,0,0,61.50124895130794,50.91867513316366,23.599961767165006,10.481147353893903,12.06769282521418,9.473288523986412,8.259509761724985,-0.16509222488889463,0.040052331957156184,0.06991966875148137,0.2162837935271682,-9.249459683584973,-16.005077656111098,-10.634017335615681,-2.5296092514008706,-37.2093023255814,HOLD,HOLD,HOLD
2019-03-11,3.928889000000254,-11.713913999999932,-46.372507999999925,412634296,-2.92465150000001,111368920,761515748,2030619,149.91992200000004,-18480000,52.536534222882416,44.597365669947706,63.073146850867275,-17.94568032305324,-2.5423573810894595,2.492563958488063,4.734863454516926,-1.5448718624444666,-0.7011236260321425,-0.3044017273424515,0.013642806847997235,70.33523115820753,25.476172257916915,9.435225081337194,7.305844377721769,81.4814814814815,HOLD,HOLD,HOLD
