SNo,Name,Symbol,Date,High,Low,Open,Close,Volume,Marketcap
1,Tether,USDT,2015-02-26,1.21231997,1.194710016,1.210420012,1.205739975,5.955460072,303364.184
2,Tether,USDT,2015-03-02,0.60789001,0.568314016,0.571249008,0.606501997,3.032500029,152595.9032
3,Tether,USDT,2015-03-03,0.606229007,0.604416013,0.605129004,0.606229007,3.031130075,152527.2164
4,Tether,USDT,2015-03-06,1,1,1,1,92.64720154,251600
5,Tether,USDT,2015-03-07,1,1,1,1,58196.80078,251600
6,Tether,USDT,2015-03-08,1,1,1,1,31.13940048,251600
7,Tether,USDT,2015-03-09,1,1,1,1,142.996994,251600
8,Tether,USDT,2015-03-10,1,1,1,1,49996.69922,251600
9,Tether,USDT,2015-03-11,1,1,1,1,49.31069946,251600
10,Tether,USDT,2015-03-12,1,1,1,1,80418.29688,251600
11,Tether,USDT,2015-03-13,1,1,1,1,75.27570343,251600
12,Tether,USDT,2015-03-14,1,1,1,1,17705.09961,251600
13,Tether,USDT,2015-03-15,1,1,1,1,15124.5,251600
14,Tether,USDT,2015-03-16,1,1,1,1,49631.5,251600
15,Tether,USDT,2015-03-17,1,1,1,1,4284.02002,251600
16,Tether,USDT,2015-03-18,1,1,1,1,202.3430023,251600
17,Tether,USDT,2015-03-19,1,1,1,1,713.9470215,251600
18,Tether,USDT,2015-03-20,1,1,1,1,132.727005,251600
19,Tether,USDT,2015-03-21,1,1,1,1,206.2680054,251600
20,Tether,USDT,2015-03-22,1,1,1,1,66.68250275,251600
21,Tether,USDT,2015-03-23,1,1,1,1,65.83820343,251600
22,Tether,USDT,2015-03-24,1,1,1,1,1179.439941,251600
23,Tether,USDT,2015-03-25,1,1,1,1,92.35220337,251600
24,Tether,USDT,2015-03-26,1,1,1,1,2.308099985,251600
25,Tether,USDT,2015-03-27,1,1,1,1,4.794929981,251600
26,Tether,USDT,2015-03-28,1,1,1,1,17.04400063,251600
27,Tether,USDT,2015-03-29,1,1,1,1,20.63769913,251600
28,Tether,USDT,2015-03-30,1,1,1,1,494.7019958,251600
29,Tether,USDT,2015-03-31,1,1,1,1,37.05210114,251600
30,Tether,USDT,2015-04-01,1,1,1,1,14.48700047,251600
31,Tether,USDT,2015-04-02,1,1,1,1,79969.89844,251600
32,Tether,USDT,2015-04-03,1,1,1,1,8887.169922,251600
33,Tether,USDT,2015-04-04,1,1,1,1,2018.25,251600
34,Tether,USDT,2015-04-05,1,1,1,1,2887.050049,251600
35,Tether,USDT,2015-04-06,1,1,1,1,254.3000031,251600
36,Tether,USDT,2015-04-07,1,1,1,1,19179,251600
37,Tether,USDT,2015-04-08,1,1,1,1,1024.199951,251600
38,Tether,USDT,2015-04-09,1,1,1,1,100949,251600
39,Tether,USDT,2015-04-10,1,1,1,1,470.2340088,251600
40,Tether,USDT,2015-04-11,1,1,1,1,2868.800049,251600
41,Tether,USDT,2015-04-12,1,1,1,1,1970.790039,251600
42,Tether,USDT,2015-04-13,1,1,1,1,46026,251600
43,Tether,USDT,2015-04-14,1,1,1,1,50323.80078,251600
44,Tether,USDT,2015-04-15,1,1,1,1,40700.19922,251600
45,Tether,USDT,2015-04-16,1,1,1,1,46909.19922,251600
46,Tether,USDT,2015-04-17,1,1,1,1,50.48160172,251600
47,Tether,USDT,2015-04-18,1,1,1,1,48.97309875,251600
48,Tether,USDT,2015-04-19,1,1,1,1,21.92639923,251600
49,Tether,USDT,2015-04-20,1,1,1,1,38.26399994,251600
50,Tether,USDT,2015-04-21,1,1,1,1,85932.70313,251600
51,Tether,USDT,2015-04-22,1,1,1,1,40305.60156,251600
52,Tether,USDT,2015-04-23,1,1,1,1,21632,251600
53,Tether,USDT,2015-04-24,1,1,1,1,20261.80078,251600
54,Tether,USDT,2015-04-25,1,1,1,1,26.46229935,251600
55,Tether,USDT,2015-04-26,1,1,1,1,555.4370117,251600
56,Tether,USDT,2015-04-27,1,1,1,1,17806.19922,251600
57,Tether,USDT,2015-04-28,1,1,1,1,42628.10156,251600
58,Tether,USDT,2015-04-29,1,1,1,1,12.18630028,251600
59,Tether,USDT,2015-04-30,1,1,1,1,613.0689697,251600
60,Tether,USDT,2015-05-01,1,1,1,1,48.37969971,251600
61,Tether,USDT,2015-05-02,1,1,1,1,3.993489981,251600
62,Tether,USDT,2015-05-03,1,1,1,1,1517.869995,251600
63,Tether,USDT,2015-05-04,1,1,1,1,83170.79688,251600
64,Tether,USDT,2015-05-05,1,1,1,1,21.42860031,251600
65,Tether,USDT,2015-05-06,1,1,1,1,10.18809986,251600
66,Tether,USDT,2015-05-07,1,1,1,1,120.4769974,251600
67,Tether,USDT,2015-05-08,1,1,1,1,545.5029907,251600
68,Tether,USDT,2015-05-09,1,1,1,1,170.7660065,251600
69,Tether,USDT,2015-05-10,1,1,1,1,2466.129883,251600
70,Tether,USDT,2015-05-11,1,1,1,1,583.8309937,251600
71,Tether,USDT,2015-05-12,1,1,1,1,5.220890045,251600
72,Tether,USDT,2015-05-13,1,1,1,1,0.110496998,251600
73,Tether,USDT,2015-05-14,1,1,1,1,2184.610107,251600
74,Tether,USDT,2015-05-15,1,1,1,1,92.11949921,251600
75,Tether,USDT,2015-05-16,1,1,1,1,297.447998,251600
76,Tether,USDT,2015-05-17,1,1,1,1,682.9249878,251600
77,Tether,USDT,2015-05-18,1,1,1,1,31.38680077,451600
78,Tether,USDT,2015-05-19,1,1,1,1,25358.69922,451600
79,Tether,USDT,2015-05-20,1,1,1,1,21978.90039,451600
80,Tether,USDT,2015-05-21,1,1,1,1,53849.10156,451600
81,Tether,USDT,2015-05-22,1,1,1,1,20209.30078,451600
82,Tether,USDT,2015-05-23,1,1,1,1,30.01650047,451600
83,Tether,USDT,2015-05-24,1,1,1,1,5381.640137,451600
84,Tether,USDT,2015-05-25,1,1,1,1,2845.860107,451600
85,Tether,USDT,2015-05-26,1,1,1,1,1243.75,451600
86,Tether,USDT,2015-05-27,1,1,1,1,28001.69922,451600
87,Tether,USDT,2015-05-28,1,1,1,1,70611.5,451600
