Date,High,Low,Open,Close,BTC_diff,Mcap_diff,Vol_diff,xBTCx,diff1,ETH,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP,SP_diff,SP_vol_diff,DJI,DJI_diff,DJI_vol_diff,NAS,NAS_diff,NAS_vol_diff,Gold,Gold_diff,Gold_vol_diff,TRE,TRE_diff
2016-03-11,423.9259949,417.0130005,417.2380066,421.6900024,4.558990400000027,71450402,-7053200,-10.066009500000007,2.2710265999999706,11.08279991,-0.2222004000000002,-16976430.69999993,-5848800,-33824.796870000006,1.4520000000484288,2022.19,32.62000000000012,-298170000,17213.31,218.1800000000003,58500,4748.470215,86.31005900000036,-134680000,1258.7,-13.299999999999955,-32,1.98,0.050000000000000044
2016-03-12,421.7950134,410.0939941,421.605011,411.6239929,-10.066009500000007,-152592376,18743200,2.441009500000007,4.558990400000027,13.5333004,2.4505004899999996,190716735.39999998,27954600,160749.79687000002,-145.160000000149,2022.19,0,0,17213.31,0,0,4748.470215,0,0,1258.7,0,0,1.98,0
2016-03-13,416.6040039,411.6419983,411.6480103,414.0650024,2.441009500000007,38738125,-18390096,2.3729858999999465,-10.066009500000007,14.475000380000001,0.941699980000001,73559104,-5042200,-44211,33.38700000010431,2022.19,0,0,17213.31,0,0,4748.470215,0,0,1258.7,0,0,1.98,0
2016-03-14,416.6839905,414.2009888,414.2009888,416.4379883,2.3729858999999465,37931336,20936600,0.39199830000001157,2.441009500000007,12.45259953,-2.0224008500000004,-156903840.70000005,14470000,160767,110.32099999999627,2019.64,-2.5499999999999545,-590770000,17229.13,15.819999999999709,-270700,4750.279785,1.8095699999994395,-186690000,1244.4,-14.299999999999955,-29,1.96,-0.020000000000000018
2016-03-15,418.131012,414.9849854,416.3880005,416.8299866,0.39199830000001157,7671633,-28477700,0.1809997000000294,2.3729858999999465,13.01000023,0.55740069999999875,43735224.70000005,-29980600,-297482.29687,8.709999999962747,2015.93,-3.7100000000000364,72430000,17251.53,22.399999999997817,-35200,4728.669922,-21.609862999999677,77320000,1230.4,-14,-21,1.96,0
2016-03-16,417.6860046,415.9119873,416.8880005,417.0109863,0.1809997000000294,4368190,-1595900,3.6100159000000076,0.39199830000001157,12.52089977,-0.4891004599999995,-37672141.29999995,-4069000,2421.19531000001,0,2027.22,11.289999999999964,496740000,17325.76,74.22999999999956,258800,4763.970215,35.30029300000024,88640000,1229.3,-1.1000000000001364,8,1.94,-0.020000000000000018
2016-03-17,420.9970093,417.8890076,417.8890076,420.6210022,3.6100159000000076,56795243,18342800,-11.072998000000041,0.1809997000000294,11.08150005,-1.439399719999999,-108654422.20000005,17315100,144318.10155999998,-24.67699999990873,2040.59,13.36999999999989,473460000,17481.49,155.7300000000032,-7200,4774.990234,11.020018999999593,126130000,1264.5,35.200000000000045,-18,1.9,-0.040000000000000036
2016-03-18,420.5469971,406.1369934,420.5469971,409.5480042,-11.072998000000041,-168339463,21411400,0.8959960000000251,3.6100159000000076,10.99810028,-0.08339977000000154,-6173821.299999952,12306200,107887,17.773999999975786,2049.58,8.990000000000009,1972660000,17602.3,120.80999999999767,2032400,4795.649902,20.659668000000238,921850000,1253.8,-10.700000000000045,515,1.87,-0.029999999999999805
2016-03-19,410.9840088,407.230011,409.2650146,410.4440002,0.8959960000000251,15143108,-46517000,3.3110047000000122,-11.072998000000041,10.53069973,-0.4674005499999989,-36196231.600000024,-27221100,-207293,0,2049.58,0,0,17602.3,0,0,4795.649902,0,0,1253.8,0,0,1.87,0
2016-03-20,414.625,410.401001,410.401001,413.7550049,3.3110047000000122,52274958,-12475100,-0.4479981000000066,0.8959960000000251,10.31980038,-0.21089935000000004,-16166072.600000024,-9084600,-36826.601559999996,-5,2049.58,0,0,17602.3,0,0,4795.649902,0,0,1253.8,0,0,1.87,0
2016-03-21,413.4179993,410.381012,413.4179993,413.3070068,-0.4479981000000066,-5435586,15707500,4.78198249999997,3.3110047000000122,11.86410046,1.5443000799999993,121172193,10921500,105257.60156,1.450999999884516,2051.6,2.019999999999982,-3126540000,17623.87,21.56999999999971,-2368200,4808.870117,13.22021500000028,-1219810000,1243.8,-10,519,1.92,0.04999999999999982
2016-03-22,418.375,412.5310059,413.1319885,418.0889893,4.78198249999997,74914167,5157900,-0.048004199999979846,-0.4479981000000066,11.2748003,-0.5893001599999987,-44994273.20000005,-8842300,-69867,0,2049.8,-1.7999999999997272,41860000,17582.57,-41.29999999999927,110400,4821.660156,12.790038999999524,-13030000,1248.2,4.400000000000091,-1041,1.94,0.020000000000000018
2016-03-23,419.2680054,417.3640137,418.1610107,418.0409851,-0.048004199999979846,820591,-5369100,-1.6469726000000264,4.78198249999997,12.41670036,1.1419000599999993,89861978,-377100,-35279.203120000006,0,2036.71,-13.090000000000146,221050000,17502.59,-79.97999999999956,-112100,4768.859863,-52.80029300000024,136430000,1223.7,-24.5,8,1.88,-0.06000000000000005
