Date,xBTCx,diff1,BTC_diff,Mcap_diff,Vol_diff,ETH_diff,Eth_Mcap_diff,Eth_vol_diff,TETH_vol_diff,TETH_Mcap_diff,SP_diff,SP_vol_diff,DJI_diff,DJI_vol_diff,NAS_diff,NAS_vol_diff,Gold_diff,Gold_vol_diff,TRE_diff,ROC3,ROC7,ROC15,ROC30,RSI_EMA,RSI_SMA,ROC3_ETH,ROC7_ETH,ROC15_ETH,ROC30_ETH,RSI_EMA_ETH,RSI_SMA_ETH,ROC3_DJI,ROC7_DJI,ROC15_DJI,ROC30_DJI,RSI_EMA_DJI,RSI_SMA_DJI,ROC3_SP,ROC7_SP,ROC15_SP,ROC30_SP,RSI_EMA_SP,RSI_SMA_SP,ROC3_NAS,ROC7_NAS,ROC15_NAS,ROC30_NAS,RSI_EMA_NAS,RSI_SMA_NAS,ROC3_Gold,ROC7_Gold,ROC15_Gold,ROC30_Gold,RSI_EMA_Gold,RSI_SMA_Gold,ROC3_TRE,ROC7_TRE,ROC15_TRE,ROC30_TRE,RSI_EMA_TRE,RSI_SMA_TRE,SMA3x,SMA7x,SMA15x,SMA30x,EMA3x,EMA7x,EMA15x,EMA30x,SMA3x_ETH,SMA7x_ETH,SMA15x_ETH,SMA30x_ETH,EMA3x_ETH,EMA7x_ETH,EMA15x_ETH,EMA30x_ETH,SMA3x_DJI,SMA7x_DJI,SMA15x_DJI,SMA30x_DJI,EMA3x_DJI,EMA7x_DJI,EMA15x_DJI,EMA30x_DJI,SMA3x_SP,SMA7x_SP,SMA15x_SP,SMA30x_SP,EMA3x_SP,EMA7x_SP,EMA15x_SP,EMA30x_SP,SMA3x_NAS,SMA7x_NAS,SMA15x_NAS,SMA30x_NAS,EMA3x_NAS,EMA7x_NAS,EMA15x_NAS,EMA30x_NAS,SMA3x_Gold,SMA7x_Gold,SMA15x_Gold,SMA30x_Gold,EMA3x_Gold,EMA7x_Gold,EMA15x_Gold,EMA30x_Gold,SMA3x_TRE,SMA7x_TRE,SMA15x_TRE,SMA30x_TRE,EMA3x_TRE,EMA7x_TRE,EMA15x_TRE,EMA30x_TRE,BTCHitsChg,BuyBTCHitsChg,WhatBTCHitsChg,WalletHitsChg,ETHHitsChg,BuyEthHitsChg,cryptoHitsChg,blockHitsChg,HODLHitsChg,altcoinHitsChg,SatoshiHitsChg,dipHitsChg,poolHitsChg,investHitsChg,richHitsChg,recessionHitsChg,debtHitsChg,bearHitsChg,bullHitsChg,stocksHitsChg,macd_Signal,macd_Signal_DJI,macd_Signal_ETH,macd_Signal_SP,macd_Signal_NAS,macd_Signal_Gold,macd_Signal_TRE
2019-08-28,-244.22272900000098,-185.3202599999986,-431.07662700000037,-7000000000,2841180820,-13.626687900000007,-1462499697,654276685,4325891913,-58608900,18.7800000000002,-436210000,258.1999999999971,-564600,29.92968799999926,-256830000,-3.2000000000000455,2590,-0.020000000000000018,-3.8620949927514303,-3.857475769000196,-11.065933645334525,2.441572129603564,33.314078736439775,45.535783495386994,-7.184267873729588,-7.210617040378331,-18.251836983956338,-19.470498181704166,26.97753833518094,41.12051981445612,1.5763415538510017,-0.6379567273519626,-0.9320732414479949,-4.451755534033275,54.35798169547229,61.636676811933484,1.4239000480065656,-1.2556144707478012,-1.3202215746487056,-4.503452667713859,51.50863652611444,58.87514060742411,1.3468359214956038,-2.0575035030873323,-2.0094870242987284,-5.406202049799802,48.372485259494304,55.20626640572966,0.7309783233710121,2.182574147195915,2.342212334616889,7.997768182573939,74.03104346706327,63.36996336996338,-4.000533461369921,-7.21624462482306,-13.353139262452263,-33.74435820108449,27.024063386256355,35.8974358974359,-128.03146566666692,-54.80372671428813,-76.09381113333257,7.842578633331868,-239.82268078290326,-133.10017681649515,-84.35939735675674,-50.49100712698237,-4.317473066666679,-1.857379585714284,-2.3212711533333277,-1.2459361533333322,-7.241733663634477,-4.051334036160256,-2.5767861117464292,-1.967388232789176,135.7333333333372,-23.80428571428638,-16.254000000000815,-39.50833333333139,124.12188790184882,53.18015814336832,14.101041689344129,-6.030425576547714,13.609999999999673,-5.2128571428575015,-2.558666666666795,-4.434333333333143,9.882803987282387,3.716971912940153,0.39905865335549606,-1.0679051748293205,35.036621000000196,-23.33286828571454,-10.631998666667641,-14.548339833333557,17.332194086505297,4.508382914334106,-2.431679379156776,-5.029101828495186,3.733333333333576,4.742857142857019,2.373333333333221,3.9400000000000546,2.434469188250432,3.268800021152856,3.0480026263919626,2.935670416768289,-0.02000000000000024,-0.01571428571428557,-0.014000000000000012,-0.01966666666666672,-0.023461983994462532,-0.016866505864147063,-0.013905707087142671,-0.013386581458632918,1.51515151515151,38.1818181818182,65.7142857142857,23.2142857142857,18.6440677966102,-66.6666666666667,-12.5,35.2941176470588,-100,257.142857142857,-16.6666666666667,0,0,-23.8095238095238,-28.0487804878049,-6.89655172413793,7.59493670886076,-82.7586206896552,36.8421052631579,-12.5,HOLD,HOLD,SELL,BUY,BUY,HOLD,HOLD
2019-08-29,87.9731040000006,-431.07662700000037,-244.22272900000098,-5000000000,-557911822,-4.37323889999999,-467852456,432964996,-478775913,22739181,36.63999999999987,78770000,326.15000000000146,15800,116.51025400000071,43910000,-11.299999999999955,-2052,0.050000000000000044,-8.663114476366829,-6.32406034833739,-5.537720137542301,-1.01711363278838,29.159968632432143,37.90961618026777,-10.842161741549905,-12.106325761096048,-9.605712252256371,-21.66413773193998,24.16997934340815,37.18803425436415,1.7735268652595337,0.4181743862265108,3.4061995099001763,-3.1211113942134716,63.72783973196862,64.95091860509528,1.5923244744858067,0.0557500360740093,2.913558316534548,-2.9845118855303276,61.92479004499045,62.988459202267684,1.511988334279657,-0.22549646557443737,2.533265781831595,-3.696120927307156,60.08086644213242,61.41455094596738,0.013102725385660818,1.9314047031259385,0.6968211208960184,6.551290113981434,58.165070245058686,53.85474860335202,-1.9544596072970266,-5.7523844138186675,-3.871451218069044,-30.399564794330473,41.744748906417705,48.717948717948715,-286.8732053333333,-88.69365085714344,-36.10022573333299,-3.240771433331247,-242.0227048914512,-160.88081486237206,-104.34231381216523,-62.98982789298498,-6.470880166666689,-3.1165968571428664,-1.1394004466666843,-1.3668623033333347,-5.807486281817262,-4.131810252120204,-2.801342710278135,-2.122604404867303,154.47333333333154,15.715714285717695,58.8553333333366,-27.859000000004016,225.13594395092514,121.42261860752478,53.10716147817584,15.400569621939212,15.399999999999636,0.23285714285702852,5.598666666667214,-2.9533333333333758,23.261401993640902,11.947728934704628,4.9291763216861,1.364862900965818,39.88330099999894,-2.5714285714284415,13.296679733332894,-10.007340499999373,66.92122404325255,32.508850685750076,12.436062293238137,2.8121469346342565,0.06666666666660603,4.171428571428805,0.7066666666667061,3.2266666666669153,-4.432765405874761,-0.37339998413540343,1.2545022980930298,2.0172400672993263,-0.010000000000000009,-0.0128571428571429,-0.004000000000000226,-0.018000000000000016,0.013269008002768645,-1.498793981102864e-4,-0.005917493701249832,-0.009297124590333716,13.4328358208955,-27.6315789473684,34.4827586206897,-18.8405797101449,-17.1428571428571,100,5.1948051948052,-20.6521739130435,16.77,16,-13.3333333333333,0,-50,-29.6875,-8.47457627118643,-7.40740740740741,-7.05882352941176,270,-36.5384615384615,2.85714285714285,HOLD,HOLD,SELL,HOLD,BUY,SELL,HOLD
2019-08-30,32.490200000000186,-244.22272900000098,87.9731040000006,2000000000,-3450614515,-0.6818593000000135,-71017230,-1353048863,-3844762752,571758,1.8800000000001091,-167740000,41.029999999998836,75100,-10.510254000000714,-35000000,-7.400000000000091,-428,-0.010000000000000009,-5.939229508268262,-8.099857473827399,-7.169134763790375,-4.953858000383171,32.65053643926045,38.377813977683736,-10.494653427257639,-14.257063244589663,-11.018776828409571,-25.857007111886787,23.725771334011817,38.42230763779051,2.3970709160902715,2.9767623859042303,3.1701295747982527,-1.7308906050987005,64.77743341852997,60.99400215089413,1.9774197446694508,2.7489056739958606,2.731696720380672,-1.8257307714875104,62.40292155530233,57.34619273547487,1.7217797198622264,2.686952180550861,2.4955650404960394,-2.6341353298370507,58.695335614001955,54.25036149898674,-1.4313502106498177,-0.4924986150752986,-0.03290880998534362,6.317460847089595,50.05858496959749,53.67483296213804,1.3333530869465204,-1.3158084577511109,-1.3158084577511109,-29.09878605862804,39.88793731620909,46.15384615384615,-195.7754173333342,-115.68452600000273,-47.558118800001466,-16.248470066666414,-77.02480044572621,-98.66733514677799,-80.30288658564314,-53.25028389988802,-6.227262033333346,-3.6959047714285873,-1.311145659999994,-1.660642353333344,-3.2446727909086235,-3.2693225140901347,-2.536407283993384,-2.0296531077790974,208.4599999999955,110.62571428571391,54.92599999999584,-15.366333333331568,133.082971975462,101.3244639556433,51.597516293400986,17.054081259237137,19.09999999999991,11.335714285713948,5.257333333333008,-1.797333333332972,12.570700996820506,9.430796701028612,4.548029281475465,1.3980975525164467,45.309895999998844,30.15855185714372,13.08398440000019,-7.084667966667439,28.205485021626373,21.75407451431238,9.567772756583508,1.95263719691593,-7.300000000000182,-1.0714285714286689,-0.03333333333330302,3.099999999999909,-5.916382702937426,-2.1300499881015185,0.17268951083133288,1.4096761919897745,0.006666666666666599,-0.0028571428571428914,-0.0013333333333331865,-0.017000000000000126,0.0016345040013843182,-0.0026124095485826615,-0.006427806988593687,-0.009342471390957563,-19.7368421052632,-14.5454545454546,-44.8717948717949,-5.35714285714285,-6.89655172413792,-50,-17.283950617284,0,203.030303030303,-62.0689655172414,-38.4615384615385,-17.33,153.571428571429,55.5555555555555,7.4074074074074,-20,-13.9240506329114,-13.5135135135135,87.8787878787879,-11.1111111111111,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-08-31,127.30646999999954,87.9731040000006,32.490200000000186,0,-2140457567,3.6349136999999985,393245671,53692029,-2148680127,6226159,0,0,0,0,0,0,0,0,0,-1.2768692314443442,-5.35023994402497,-7.438322813657905,-7.6821860259387975,34.03562381091723,40.69261880047206,-0.8200678102119774,-10.356623078255378,-7.2509691085143935,-23.3393892184365,31.472562372176043,41.19972995130792,1.4004208320532285,2.9767623859042303,1.9785576529688598,-0.679946832055478,64.77743341852997,60.99400215089413,1.325005625989295,2.7489056739958606,1.299385107276052,-0.921772098807061,62.402921555302335,57.34619273547487,1.3401162590552573,2.686952180550861,0.8435663469590793,-1.8445245355392714,58.695335614001955,54.25036149898674,-1.2234769384463107,-0.4924986150752986,0.4354143308620273,6.682758056958793,50.05858496959748,53.67483296213804,2.6847250036188095,-1.3158084577511109,-1.9672765598704844,-22.4467178244718,39.88793731620909,46.15384615384615,-41.25314166666794,-75.61381314285791,-49.57836679999855,-25.63351906666685,-22.267300222862104,-65.8779513600839,-66.20375076243727,-47.718639777313,-0.4733948333333444,-2.6885391142857316,-0.8646856333333517,-1.5112884833333453,0.1951204545457017,-1.5432634605676014,-1.7649921609942112,-1.664197184696576,122.39333333333343,110.62571428571391,34.48466666666718,-6.004666666667617,66.541485987731,75.99334796673065,45.14782675672541,15.95381795218782,12.83999999999969,11.335714285713948,2.5186666666668316,-0.9033333333331939,6.2853504984100255,7.073097525771118,3.9795256212910317,1.3078977104187288,35.33333333333212,30.15855185714372,4.459309933333316,-4.94134113333439,14.102742510813187,16.315555885734284,8.371801162010343,1.8266606035667792,-6.2333333333333485,-1.0714285714286689,0.4399999999998272,3.273333333333312,-2.958191351468713,-1.5975374910763094,0.15110332197741627,1.3187293408936966,0.013333333333333197,-0.0028571428571426694,-0.0020000000000000018,-0.012666666666666604,8.172520006921591e-4,-0.001959307161436996,-0.005624331115019476,-0.008739731301218301,-14.7540983606557,112.765957446808,60.4651162790697,37.7358490566038,-9.25925925925927,121.428571428571,-8.955223880597,-38.3561643835616,-100,154.545454545455,-25,-100,-56.3380281690141,-77.1428571428571,-12.0689655172414,-25,-19.1176470588235,9.375,-50,-28.125,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-01,588.7904720000006,32.490200000000186,127.30646999999954,3000000000,-9450560,-0.8403688999999872,-88059304,-275412673,97436387,3323734,0,0,0,0,0,0,0,0,0,2.5719455545054615,-3.825738150906055,-4.74106101795968,-7.502026317217236,39.64721875594267,40.934801381725855,1.2385967019529431,-8.492782358073825,-7.872850124291286,-23.856810506828197,30.642348773497886,32.971253668254946,0.15551822665127446,2.9767623859042303,1.9785576529688598,-0.30906677095661195,64.77743341852995,60.99400215089413,0.06426208211518514,2.7489056739958606,1.299385107276052,-0.19083356336153656,62.40292155530232,57.34619273547487,-0.1319035823398096,2.686952180550861,0.8435663469590793,-0.5159411550385684,58.69533561400196,54.25036149898674,-0.48594789613156664,-0.4924986150752986,0.4354143308620273,4.959359393559826,50.058584969597476,53.67483296213804,-0.6600684031352055,-1.3158084577511109,-1.9672765598704844,-20.8466836898277,39.88793731620909,46.15384615384615,82.589924666666775,-54.36390742857111,-31.584902133334253,-25.34014539999953,52.519584888568716,-17.581846020062585,-42.014973167133576,-36.4266972110363,0.7042284999999993,-2.1732818000000123,-0.9372172866666517,-1.5414047233333008,-0.32262422272714275,-1.3675398204257192,-1.6494142533699119,-1.611046972780656,13.676666666666279,110.62571428571755,34.48466666667082,-2.7243333333317423,33.27074299386368,56.99501097504981,39.504348412137915,14.924539374627784,0.6266666666670062,11.335714285714403,2.518666666666377,-0.18633333333309565,3.14267524920524,5.304823144329021,3.48208491862988,1.223517212972638,-3.503418000000238,30.15855185714372,4.459309933334225,-1.3729980333337153,7.051371255406593,12.236666914301168,7.325326016759391,1.7088115323685997,-2.4666666666669244,-1.0714285714284415,0.4399999999998272,2.4500000000000455,-1.4790956757344702,-1.198153118306891,0.1322154067304382,1.2336500285780403,-0.0033333333333331883,-0.0028571428571428914,-0.0019999999999997797,-0.011666666666666714,4.086260003459685e-4,-0.001469480371077747,-0.004921289725642097,-0.008175877668881615,-6.25,-44.875,-20.2898550724638,25.5707762557078,-22.4489795918367,-100,-6.55737704918034,11.1111111111111,16.77,-63.8888888888889,-21.0526315789474,0,11.8279569892473,403.703703703704,60.7843137254902,61.592039800995,-4.87804878048781,-33.5064935064935,-86.9431643625192,-8.41209829867675,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-02,276.7793299999994,127.30646999999954,588.7904720000006,10000000000,5802746435,6.717933599999981,725066471,948647561,5701219953,-7169468,0,0,0,0,0,0,0,0,0,7.510066820226591,-0.23226052186053892,0.009186001999061943,-4.488232365520517,58.49127683742089,41.27075229603658,5.481190599867958,-5.764019452082891,-8.666582683910917,-22.11505908030169,44.2156065480156,31.039623186132264,0,1.9290450919108082,1.9785576529688598,-0.30906677095661195,64.77743341852997,56.36054082074251,0,1.6565865566009919,1.299385107276052,-0.19083356336153656,62.40292155530232,50.6323986136742,0,1.3800847519398474,0.8435663469590793,-0.5159411550385684,58.695335614001955,47.06417477723832,0,-0.4728451707459058,0.4354143308620273,4.959359393559826,50.05858496959749,62.033462033461944,0,-2.614528010432232,-1.9672765598704844,-20.8466836898277,39.88793731620908,36.36363636363637,249.52904733333344,-3.437052857143499,0.0633606666669948,-15.832190666666065,320.65502844428374,134.01123348495275,36.835707478758195,3.90989435096526,3.1708261333333496,-1.511717342857139,-1.0764117933333068,-1.4714327266666771,3.197654688636419,0.6538285346807129,-0.6034957716986753,-1.0736933874399597,0,72.06428571428478,34.48466666666718,-2.7243333333317423,16.635371496933658,42.74625823128736,34.5663048606184,13.961665866587282,4.547473508864641e-13,6.868571428571158,2.5186666666668316,-0.1863333333335504,1.57133762460262,3.9786173582460833,3.046824303800804,1.1445806185870424,0,15.59137842857217,4.459309933333316,-1.3729980333337153,3.5256856277037514,9.177500185725876,6.409660264664126,1.5985656270540858,0,-1.0285714285712402,0.44000000000005457,2.449999999999818,-0.7395478378671214,-0.8986148387302819,0.11568848088904815,1.1540597041534966,0,-0.005714285714285783,-0.0019999999999997797,-0.011666666666666714,2.0431300017298426e-4,-0.0011021102783084213,-0.004306128509936835,-0.0076484016902440555,23.3333333333333,-6.34920634920636,-16.6666666666667,-32,84.2105263157895,0,12.280701754386,46,-13.0434782608696,80.7692307692308,166.666666666667,0,35.8974358974359,-17.6470588235294,4.87804878048781,-5.35714285714285,34.5454545454545,59.375,1020,19.6078431372549,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-03,-29.046769999999015,588.7904720000006,276.7793299999994,5000000000,2136815695,1.1519684000000154,126351759,459281801,1567475540,17005800,-20.190000000000055,418340000,-285.2599999999984,70500,-88.7197269999997,270370000,26.800000000000182,-137,-0.040000000000000036,9.812014605530806,4.210717444198586,-2.716223289219144,-3.2108762318568296,64.50288884314992,47.936470217688225,3.9949346440848466,-4.369627096686646,-12.348731571545368,-21.551819667635108,46.295094654473594,35.74948468648067,-1.0862747305722564,1.310796185518015,-0.06801418187496466,-1.3953415015288684,47.749914422161034,53.512534768630616,-0.6923029401107783,1.2851168045586725,-0.5962363630342082,-0.8831365034723149,50.36382579505265,51.31374874555236,-1.1204196603857852,0.6013600594764412,-1.6206205211032554,-1.6363608154243536,43.63812048758932,44.7937145901016,1.7488210788671132,0.31747086821729553,2.987452579455585,6.708180472426939,73.64116319858067,70.58823529411771,-2.6847250036188095,-1.3513719166722893,-8.474122845509074,-23.531408693446508,30.324546260210305,36.36363636363637,330.9587573333338,62.577174285715955,-19.500916666667763,-11.55480333333253,298.71717922214157,169.70325761371532,66.82866029391516,21.514374070258782,2.3431777000000125,-1.1453341857142902,-1.5728407066666534,-1.4390134900000078,2.174811544318203,0.7783635010105456,-0.38406275023635317,-0.930102304379318,-95.08666666666613,48.58857142857232,-1.1846666666642705,-12.233000000000175,-134.31231425153237,-39.25530632653317,-5.411983246958698,-5.342957737706456,-6.7299999999995634,5.30142857142846,-1.158666666667159,-0.8593333333333248,-9.309331187698717,-2.0635369813148827,0.1422212658258104,-0.23184393745077614,-29.573242333333837,6.744280142856951,-8.576660199999424,-4.330322266667281,-42.597020686148426,-15.296806610705971,-5.4815131434188515,-4.2284209940453366,8.933333333333167,0.6999999999998181,3.033333333333303,3.343333333333476,13.03022608106653,6.026038870952107,3.451227420777741,2.8086364974340086,-0.01333333333333342,-0.0028571428571428914,-0.008666666666666822,-0.013000000000000123,-0.019897843499913304,-0.01082658270873127,-0.00876786244619443,-0.00973560158119624,8.10810810810811,15.2542372881356,63.6363636363636,2.94117647058822,-18.5714285714286,13.02,10.9375,19.1780821917808,0,112.765957446808,-67.5,0,-35.8490566037736,23.2142857142857,-6.97674418604651,50.9433962264151,22.972972972973,80.3921568627451,-25,40.9836065573771,BUY,HOLD,BUY,HOLD,HOLD,HOLD,HOLD
2019-09-04,-18.960070000000997,276.7793299999994,-29.046769999999015,0,-2642253220,-3.5064377000000206,-374904475,-1024608444,-3188049172,-285998,31.51000000000022,-263530000,237.45000000000073,-205000,102.7197269999997,-44910000,4.399999999999864,-93,-0.010000000000000009,8.224995127340406,8.261351969185782,-1.5801569060315046,-10.824417553609322,63.39117636881793,58.18393455679089,2.5105946526941203,1.2020801683498838,-11.055167746349515,-28.57960485334692,40.93565989063659,39.85436407093656,-0.18124012827147595,1.2191807037817526,1.5024965402306023,2.44948174300319,58.28230864813397,53.45284383759837,0.38606926252438,1.711074888513675,1.2767610477158797,3.218251907521452,63.1619335850175,52.942991931572756,0.175661412787953,1.5157776718432103,0.3556555292009378,3.1950896297235687,58.02368581072777,47.09424166995494,2.0330406358699094,0.8095636974235987,2.9921378446195135,5.68662929453474,75.80544527741512,71.82425978987585,-3.367321510658794,-0.6825965070399842,-6.624938554120069,-17.544867750619257,28.36294988970481,31.25,278.841010666667,120.01001099999849,-11.249285333333319,-40.372012666666706,134.83520461107219,120.01575071028674,54.84423150717521,18.252364775404203,1.4544880999999918,0.3004158428571486,-1.3715015866667102,-1.940738093333323,-0.6658130778409088,-0.29283679924211015,-0.7743596189567938,-1.0963174911935596,-15.936666666664678,45.62428571428609,26.202000000001135,21.25766666666459,51.56884287423236,29.921020255100302,24.945764658910775,10.321104051821749,3.7733333333330847,7.119999999999891,2.484666666666726,3.101333333333514,11.100334406150978,6.329847264014006,4.063193607597441,1.8160169617394786,4.66666666666606,17.142857142856883,1.88798826666698,8.36132813333279,30.06135315692609,14.207326791971354,8.043641874508467,2.6714595216990347,10.400000000000318,1.7857142857144481,3.0466666666666242,2.856666666666797,8.715113040533197,5.619529153214216,3.5698239931805347,2.9113051105027807,-0.016666666666666607,-0.0014285714285713347,-0.006666666666666599,-0.009333333333333416,-0.014948921749956767,-0.01061993703154851,-0.008921879640420238,-0.009752659543699638,-6.25,-11.7647058823529,-14.4444444444444,4.28571428571427,-3.50877192982456,0,0,1.14942528735631,0,-77,392.307692307692,-17.33,50,11.5942028985507,12.5,25,5.49450549450547,-39.1304347826087,-11.9047619047619,3.48837209302326,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-05,-222.23071999999956,-29.046769999999015,-18.960070000000997,-1000000000,-2191425261,-1.7757574999999974,-188715144,-348643978,-1655443754,3865024,38.2199999999998,727440000,372.6800000000003,539600,139.95019500000035,205000000,-34.899999999999864,79,0.1100000000000001,2.1869648452486956,10.617818799754986,4.224754318094703,-8.190376186025716,62.5788493767962,57.935320055576206,-2.343069699262834,2.7350725902041795,-7.022655636471331,-26.03239903167962,38.341937423600186,33.23493086205988,1.2229072271832564,1.3784254538345309,1.9853713318845223,2.6486038555681546,69.43870006770855,59.386896097389716,1.678661551945737,1.7429236340609222,1.748052707187231,3.2175428268651274,72.93028596345331,60.064503889205106,1.9148964699736482,1.7829928876338386,1.1975092259415732,3.5559643574819333,70.04354623963702,57.320939718925594,-0.24386237163440683,-0.7298102677659735,0.7152348371151973,2.8785707992406984,43.281185243186705,56.84051398337118,3.8965968533383744,3.236528450203169,-0.6349227678658753,-10.28094938662209,60.66112013984417,45,76.25749666666707,152.19039085714394,29.16559466666513,-30.087869000000865,57.937567305534685,85.27179553271344,45.61869381877841,15.851562531828677,-1.3767422666666675,0.6714846142857027,-0.8449669133333089,-1.7267841066666847,-1.2207852889204673,-0.6635669744316033,-0.8995343540871943,-1.140152330471409,108.29000000000087,52.27142857142826,35.028000000002066,23.287666666667064,212.12442143711814,115.61076519132621,68.4125440765456,33.69909733880195,16.513333333333776,7.345714285714621,3.437999999999647,3.1409999999996217,24.66016720307516,14.302385448010227,8.33279440664819,4.164661028723913,51.31673166666587,20.49142014285735,6.441341133332571,9.452001933333122,85.00577407846322,45.643043843978376,24.53196101519461,11.528152133202639,-1.2333333333335759,-1.5857142857144026,0.7200000000002547,1.433333333333394,-13.09244347973322,-4.510353135089417,-1.238904005967015,0.47186607111552803,0.02000000000000024,0.0071428571428573395,-6.666666666668153e-4,-0.005666666666666709,0.047525539125021776,0.019535047226338698,0.005943355314632193,-0.0020266815086220635,-12,16.6666666666667,-15.5844155844156,-19.1780821917808,18.1818181818182,300,-14.0845070422535,-5.68181818181818,0,100,-40.625,-50,0,29.8701298701299,-5.55555555555555,-32,-5.20833333333333,-37.5,0,-7.86516853932584,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-06,163.95221999999922,-18.960070000000997,-222.23071999999956,-3000000000,4985335275,-4.260951999999975,-456268698,1208135362,5508162344,26989228,2.7100000000000364,-682420000,69.30999999999767,-469700,-13.760253999999804,-219920000,-9.200000000000045,-71,-0.020000000000000018,-2.576674816322466,7.573272136144382,2.169998922086691,-14.275339023771672,53.33547934137294,49.00466447548225,-5.463082224120086,0.6619441064509068,-11.847429965046086,-28.672301882113427,32.619625024790494,26.171477133410455,2.5681609352528056,1.4818862046805492,2.0555788175583345,2.9938682771842196,71.0973287750335,79.49508819045505,2.4619848838840497,1.7696819437732714,1.8896940619624658,3.2319036303223747,73.50508176812589,84.55519378216562,2.865644832949954,1.7452251725641688,1.3878251246499218,3.0096378047847594,67.83970687997342,77.84291348206334,-2.6016342335037024,-0.8528131546365891,0.5926436523577827,-0.07300481492320543,38.28492420977433,40.90909090909097,5.299253014051041,2.614528010432232,-3.7979248065216407,-8.05388624840122,55.41925188492474,52.94117647058824,-90.07918666666774,107.87555885714391,14.816430666669476,-52.955526000001555,-82.14657634723153,8.396166649536099,12.13751709143071,0.49141527171013877,-3.1810490666666738,0.16018565714287547,-1.4251158466666425,-1.8811611000000141,-2.7408686444601926,-1.562913230823682,-1.3197115598262883,-1.3414942446345322,226.47999999999593,56.311428571425495,36.348000000001775,26.34633333333477,140.7172107185579,104.03557389348862,68.52472606697847,35.99657492984261,24.14666666666608,7.464285714285779,3.7173333333334995,3.1576666666669553,13.685083601537826,11.404289086007793,7.62994510581666,4.070811930096625,76.30322266666735,20.027134428570207,7.445312466667929,8.007991533333552,35.62276003923125,30.792219382983603,19.745434138295423,9.896642060092745,-13.233333333333576,-1.8428571428571558,0.5933333333334758,-0.03666666666686069,-11.146221739866633,-5.682764851316961,-2.234041005220888,-0.15212528831125383,0.026666666666666616,0.005714285714285783,-0.0039999999999997815,-0.0043333333333333,0.01376276956251088,0.009651285419753908,0.002700435900303333,-0.0031862504435498096,7.57575757575757,7.14285714285714,15.3846153846154,69.4915254237288,-12.3076923076923,-100,8.1967213114754,-8.43373493975903,105,-15.2173913043478,36.8421052631579,-100,70.5882352941176,-49,1.17647058823529,-5.88235294117647,-8.7912087912088,85.7142857142857,27.027027027027,-2.4390243902439,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
2019-09-07,-75.97879999999896,-222.23071999999956,163.95221999999922,2000000000,-4229208307,8.3064416,896496808,-6080536,-4106057514,10192564,0,0,0,0,0,0,0,0,0,-0.731715006651612,8.806506193978514,1.044581067087158,-12.908612090486926,58.5475904062092,56.71127767366235,1.2814271925113196,3.303575171073181,-8.823396387030336,-21.464174942548464,49.554331457659785,38.537345171007516,1.6631263329520252,1.4818862046805492,4.4586485905847795,1.5769574555942967,71.09732877503349,79.49508819045505,1.3836126812488914,1.7696819437732714,4.518587617769132,1.3730610522888043,73.50508176812589,84.55519378216562,1.5695637597762158,1.7452251725641688,4.43217735311503,0.7918360971093108,67.83970687997342,77.84291348206334,-2.8858537905064985,-0.8528131546365891,-1.3453117697118877,0.5659324668901178,38.28492420977433,40.90909090909097,5.981849521091026,2.614528010432232,1.2987195526811213,-10.40693598942064,55.41925188492475,52.94117647058824,-25.74619000000166,126.65584742857209,7.2859633333318925,-48.30508766666571,40.90282182638293,47.28517998715142,31.114354955001545,11.037273641279171,0.7565773666666473,0.8275467857143326,-1.0962394800000368,-1.4226414199999624,2.782786477769889,0.9044254768822668,-0.11644241484799522,-0.7190467707871449,147.33000000000175,56.31142857142913,77.90400000000227,13.975666666665347,70.358605359277135,78.02668042011646,59.959135308607074,33.67421525694954,13.643333333332976,7.464285714285779,8.77333333333354,1.3540000000002692,6.842541800768686,8.553216814505504,6.6762019675898046,3.808178902348118,42.063313666665636,20.027134428571117,23.419986933334258,2.1303222666665533,17.81138001961608,23.094164537236793,17.277254871008154,9.25814902395723,-14.700000000000273,-1.8428571428571558,-1.3599999999999,0.283333333333303,-5.573110869933316,-4.262073638487891,-1.9547858795683624,-0.14231075358156886,0.030000000000000027,0.005714285714285783,0.0013333333333331865,-0.005666666666666709,0.006881384781255218,0.007238464064815542,0.0023628814127654163,-0.0029806858988046248,-14.0845070422535,-18.6666666666667,7.99999999999998,-23,-1.75438596491229,0,-3.03030303030303,-7.89473684210527,12.1951219512195,-76.9230769230769,-42.3076923076923,0,-77.0114942528736,-27.4509803921569,-40.6976744186047,-18.75,-21.6867469879518,13.8461538461538,-27.6595744680851,-31.25,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD,HOLD
